acte;nb_sejsea;nb_actes;dms_globale;nb_sej_0_nuit;nb_acte_ambu
AAFA0010;1132;1158;11,7;.;.
AAFA0020;5461;5575;9,2;16;18
AAFA0030;94;96;16,5;.;.
AAFA0040;32;33;12;.;.
AAFA0050;21;21;9,5;.;.
AAFA0060;25;26;27,9;.;.
AAFA0070;299;304;7,7;.;.
AAFA0080;22;22;30,4;.;.
AAGA9000;16;19;11,2;.;.
AAGB0010;248;367;12;.;.
AAJA0010;416;452;24,2;.;.
AAJA0020;153;157;30,2;.;.
AAJA0030;119;126;33,1;.;.
AAJA0040;691;716;30,7;.;.
AAJA0050;224;234;24,8;.;.
AAJA0060;192;194;18,1;.;.
AAJH0010;27;30;28,5;.;.
AAJH0030;15;16;24,1;.;.
AAKA0010;848;926;2,6;180;189
AALA0040;471;491;10,4;.;.
AALA9000;16;16;4,8;.;.
AALB0010;605;826;10,5;.;.
AALB0020;272;933;11,5;.;.
AALF0020;16;17;32,3;.;.
AAMP0030;113;115;6,2;18;18
AAMP1730;458;587;5,1;87;89
AAMP3870;106;189;7,3;18;19
AANB0010;143;161;6,8;16;16
AAPA9000;14;14;7,9;.;.
AAQM0020;24857;47535;25;232;234
AAQN0020;987;1020;12,9;380;387
AAQN0040;78;80;11,5;23;23
AAQN9000;41;41;8,3;16;16
AAQN9010;78;80;25,2;.;.
AAQN9020;358;364;15;121;121
AAQN9030;37;39;5,2;11;11
AAQP0020;376;482;11,7;15;15
AAQP0030;2711;6680;18;129;132
AAQP0040;184;185;11,6;.;.
AAQP0050;194;196;8,4;.;.
AAQP0060;19682;23197;10;6280;6316
AAQP0070;12554;14046;11,7;1662;1682
AAQP0080;143;150;21,3;.;.
AAQP0090;689;872;12,8;116;145
AAQP0100;5840;9951;3,4;1131;1181
AAQP0110;31986;46666;21,2;948;969
AAQP0120;6283;15737;5,8;58;59
AAQP0130;249;1892;10,9;.;.
AAQP1290;19414;25450;13,6;3453;3472
AAQP3500;115788;136742;12,3;12748;12882
AAQP9000;96;116;18,3;41;41
ABCA0010;345;350;14,1;.;.
ABCA0020;3267;3872;20,8;85;85
ABCA0030;122;132;22,3;.;.
ABCA0040;89;90;16,2;.;.
ABCB0010;3344;8281;33,5;40;42
ABCC0010;861;885;12;.;.
ABFA0010;29;29;5;.;.
ABFA0020;128;133;16,9;.;.
ABFA0030;39;41;6,7;.;.
ABFA0050;136;140;16,5;.;.
ABFA0060;203;210;18,1;.;.
ABFA0080;99;100;12,2;.;.
ABFA0090;72;73;11;.;.
ABFA0100;275;281;9,9;.;.
ABFC0010;54;54;8,9;.;.
ABGA0010;438;504;33,2;.;.
ABGA0020;431;487;30,2;11;11
ABGA0030;45;45;17,2;.;.
ABHB0010;165;220;13,9;56;56
ABHB0020;32;32;13;.;.
ABJA0010;18;18;62,2;.;.
ABJA0020;1013;1054;25,7;14;15
ABJA0030;3720;3869;9,5;.;.
ABJA0040;34;35;17,8;.;.
ABJA0050;538;562;20,7;.;.
ABJA0060;953;972;9;.;.
ABJA0070;17;17;20,7;.;.
ABJA0080;389;444;27,5;.;.
ABLA0010;140;143;12;.;.
ABLB0010;68;77;22,9;13;13
ABLB0020;410;458;30,6;.;.
ABLB0030;2250;3093;31,4;24;26
ABLB0060;385;411;0,5;361;361
ABMA0020;475;521;17,2;.;.
ABMA0030;535;577;16,4;.;.
ABMP0010;190;211;6,5;132;132
ABQP0010;5073;46607;31;31;35
ABSA0010;40;40;8,5;.;.
ABSA0020;33;33;10;.;.
ABSA0030;30;30;14,2;.;.
ABSA0040;321;324;3,6;51;51
ABSA0050;11;11;6,6;.;.
ABSA0060;52;52;4,8;.;.
ABSA0070;123;125;16,7;.;.
