Spécialité,Nom,Disponibilité (jours/7),Jours de disponibilité
IBODE,Inf1,4/7,"Lundi,Mardi,Mercredi,Jeudi"
IBODE,Inf2,3/7,"Mardi,Jeudi,Vendredi"
IADE,Inf3,5/7,"Lundi,Mardi,Mercredi,Jeudi,Vendredi"
IDE,Inf4,4/7,"Lundi,Mercredi,Jeudi,Vendredi"
IBODE,Inf5,3/7,"Lundi,Mardi,Mercredi"
IADE,Inf6,4/7,"Mardi,Mercredi,Jeudi,Vendredi"
IDE,Inf7,5/7,"Lundi,Mardi,Mercredi,Jeudi,Vendredi"
IBODE,Inf8,3/7,"Mardi,Jeudi,Vendredi"
IDE,Inf9,4/7,"Lundi,Mardi,Jeudi,Vendredi"
IADE,Inf10,5/7,"Lundi,Mardi,Mercredi,Jeudi,Vendredi"
IBODE,Inf11,3/7,"Mardi,Mercredi,Jeudi"
IDE,Inf12,4/7,"Lundi,Mercredi,Jeudi,Vendredi"
IADE,Inf13,3/7,"Lundi,Mardi,Mercredi"
IBODE,Inf14,5/7,"Lundi,Mardi,Mercredi,Jeudi,Vendredi"
IDE,Inf15,3/7,"Mardi,Jeudi,Vendredi"
IADE,Inf16,4/7,"Lundi,Mardi,Mercredi,Jeudi"
IBODE,Inf17,5/7,"Lundi,Mardi,Mercredi,Jeudi,Vendredi"
IDE,Inf18,4/7","Lundi,Mercredi,Jeudi,Vendredi"
IADE,Inf19,3/7,"Mardi,Mercredi,Jeudi"
IBODE,Inf20,4/7,"Lundi,Mardi,Mercredi,Jeudi"
IDE,Inf21,5/7,"Lundi,Mardi,Mercredi,Jeudi,Vendredi"
IADE,Inf22,3/7,"Lundi,Mercredi,Vendredi"
IBODE,Inf23,4/7,"Lundi,Mardi,Jeudi,Vendredi"
IDE,Inf24,3/7,"Mardi,Mercredi,Jeudi"
IADE,Inf25,5/7,"Lundi,Mardi,Mercredi,Jeudi,Vendredi"
IBODE,Inf26,3/7,"Lundi,Mercredi,Vendredi"
IDE,Inf27,4/7,"Lundi,Mardi,Jeudi,Vendredi"
IADE,Inf28,4/7,"Lundi,Mercredi,Jeudi,Vendredi"
IBODE,Inf29,3/7,"Mardi,Jeudi,Vendredi"
IDE,Inf30,5/7,"Lundi,Mardi,Mercredi,Jeudi,Vendredi"
IADE,Inf31,4/7,"Lundi,Mardi,Mercredi,Jeudi"
IBODE,Inf32,3/7,"Mardi,Mercredi,Jeudi"
IDE,Inf33,4/7,"Lundi,Mercredi,Jeudi,Vendredi"
IADE,Inf34,3/7,"Lundi,Mardi,Mercredi"
IBODE,Inf35,5/7,"Lundi,Mardi,Mercredi,Jeudi,Vendredi"
IDE,Inf36,4/7,"Lundi,Mardi,Jeudi,Vendredi"
IADE,Inf37,5/7,"Lundi,Mardi,Mercredi,Jeudi,Vendredi"
IBODE,Inf38,3/7,"Mardi,Jeudi,Vendredi"
IDE,Inf39,4/7,"Lundi,Mardi,Mercredi,Jeudi"
IADE,Inf40,4/7,"Lundi,Mercredi,Jeudi,Vendredi"
IBODE,Inf41,3/7,"Mardi,Mercredi,Jeudi"
IDE,Inf42,5/7,"Lundi,Mardi,Mercredi,Jeudi,Vendredi"
IADE,Inf43,4/7,"Lundi,Mercredi,Jeudi,Vendredi"
IBODE,Inf44,3/7,"Lundi,Mardi,Mercredi"
IDE,Inf45,4/7,"Lundi,Mardi,Jeudi,Vendredi"
IADE,Inf46,5/7,"Lundi,Mardi,Mercredi,Jeudi,Vendredi"
IBODE,Inf47,4/7,"Lundi,Mercredi,Jeudi,Vendredi"
IDE,Inf48,3/7,"Mardi,Mercredi,Jeudi"
IADE,Inf49,4/7,"Lundi,Mardi,Mercredi,Jeudi"
IBODE,Inf50,5/7,"Lundi,Mardi,Mercredi,Jeudi,Vendredi"
